Order_ID,Order_Date,Customer_ID,City,Restaurant,Food_Category,Quantity,Price,Discount,Delivery_Fee,Payment_Method,Order_Status,Rating,Total_Amount
ORD01184,2025-01-06,CUST0097,Delhi,Capital Bites,Biryani,4,168.45,14.81,40,UPI,Delivered,3.7,698.99
ORD00632,2025-01-07,CUST0718,Mumbai,Mumbai Masala,North Indian,1,331.88,51.19,40,UPI,Returned,4.5,320.69
ORD02198,2025-01-07,CUST0495,Pune,Marathi Meals,Pizza,1,344.86,12.75,30,UPI,Delivered,3.5,362.11
ORD01089,2025-01-07,CUST0090,Pune,Deccan Kitchen,Chinese,2,264.62,26.77,30,UPI,Delivered,5.0,532.47
ORD00115,2025-01-07,CUST0139,Hyderabad,Deccan Delights,Healthy Food,1,212.82,27.37,40,Debit Card,Delivered,2.7,225.45
ORD01625,2025-01-07,CUST0416,Kochi,Coconut Cafe,Chinese,2,373.42,51.43,40,UPI,Delivered,4.4,735.41
ORD01506,2025-01-07,CUST0467,Kochi,Kerala Kitchen,Biryani,1,325.66,8.79,20,UPI,Delivered,4.4,336.87
ORD01869,2025-01-07,CUST0397,Mumbai,Coastal Kitchen,Pizza,1,395.56,76.94,30,UPI,Delivered,4.8,348.62
ORD02645,2025-01-08,CUST0329,Delhi,Capital Bites,Biryani,1,306.62,23.33,60,UPI,Delivered,4.4,343.29
ORD01186,2025-01-08,CUST0289,Mumbai,Bombay Bites,Pizza,1,332.43,14.85,20,UPI,Delivered,4.1,337.58
ORD02188,2025-01-08,CUST0216,Mumbai,Bombay Bites,North Indian,1,305.36,52.52,20,UPI,Delivered,4.9,272.84
ORD00541,2025-01-08,CUST0769,Chennai,Spice Hub,Desserts,1,149.57,17.76,30,UPI,Delivered,3.5,161.81
ORD01233,2025-01-08,CUST0460,Delhi,Delhi Zaika,Burgers,3,259.13,111.56,50,UPI,Delivered,4.5,715.83
ORD01230,2025-01-08,CUST0623,Chennai,Urban Tiffin,Biryani,1,316.5,33.03,50,UPI,Delivered,5.0,333.47
ORD00728,2025-01-08,CUST0134,Delhi,Punjabi Rasoi,South Indian,1,207.11,29.6,50,Debit Card,Delivered,4.2,227.51
ORD02859,2025-01-08,CUST0497,Delhi,Punjabi Rasoi,Pizza,1,336.24,29.56,30,Cash,Delivered,4.6,336.68
ORD01996,2025-01-08,CUST0305,Chennai,Spice Hub,Pizza,1,282.34,25.8,40,Debit Card,Delivered,5.0,296.54
ORD00219,2025-01-08,CUST0233,Hyderabad,Hyderabad House,South Indian,1,193.05,16.4,30,UPI,Delivered,4.2,206.65
ORD00242,2025-01-08,CUST0403,Pune,Pune Pantry,Biryani,1,268.04,47.4,30,UPI,Cancelled,4.5,250.64
ORD00434,2025-01-08,CUST0654,Bengaluru,South Spice,Chinese,1,303.76,16.92,40,UPI,Delivered,4.7,326.84
ORD01419,2025-01-09,CUST0727,Chennai,Chennai Bites,Biryani,3,358.05,61.62,40,Credit Card,Delivered,3.9,1052.53
ORD02914,2025-01-09,CUST0229,Delhi,Street Feast,North Indian,1,338.45,65.43,30,,Cancelled,3.0,303.02
ORD00904,2025-01-10,CUST0053,Kochi,Coastal Treats,Biryani,1,396.57,34.65,50,UPI,Delivered,4.3,411.92
ORD01268,2025-01-10,CUST0666,Bengaluru,Garden Kitchen,Healthy Food,1,320.33,24.64,20,UPI,Delivered,3.8,315.69
ORD01421,2025-01-10,CUST0736,Hyderabad,Deccan Delights,Burgers,3,149.69,16.04,50,UPI,Delivered,3.4,483.03
ORD02534,2025-01-10,CUST0738,Mumbai,Coastal Kitchen,South Indian,2,146.75,27.71,30,Debit Card,Delivered,3.9,295.79
ORD01195,2025-01-11,CUST0228,Hyderabad,Deccan Delights,Biryani,1,153.01,0.5,30,UPI,Delivered,4.1,182.51
ORD01830,2025-01-11,CUST0196,Kochi,Kerala Kitchen,Biryani,1,291.08,1.09,40,Credit Card,Delivered,2.7,329.99
ORD02815,2025-01-11,CUST0169,Pune,Pune Pantry,Pizza,1,374.65,30.94,20,Cash,Delivered,3.3,363.71
ORD00978,2025-01-11,CUST0526,Kolkata,Kolkata Kitchen,Burgers,1,151.67,24.2,50,Debit Card,Returned,4.8,177.47
ORD02274,2025-01-11,CUST0344,Kochi,Malabar Bites,Burgers,2,177.97,36.02,50,Wallet,Delivered,4.6,369.92
ORD02228,2025-01-11,CUST0145,Kolkata,Bengal Feast,South Indian,2,220.98,76.35,20,Debit Card,Delivered,3.3,385.61
ORD01516,2025-01-12,CUST0501,Mumbai,Coastal Kitchen,Pizza,1,325.7,12.18,50,UPI,Delivered,4.2,363.52
ORD00252,2025-01-12,CUST0439,Chennai,Chennai Bites,Chinese,3,330.56,195.65,40,UPI,Cancelled,3.8,836.03
ORD02851,2025-01-12,CUST0435,Chennai,Urban Tiffin,Desserts,1,175.58,13.3,40,UPI,Delivered,4.8,202.28
ORD02981,2025-01-12,CUST0221,Mumbai,Coastal Kitchen,Biryani,1,181.64,0.94,30,Credit Card,Delivered,4.0,210.7
ORD00751,2025-01-12,CUST0415,Chennai,Chennai Bites,Biryani,1,263.52,19.51,30,Cash,Delivered,3.9,274.01
ORD00920,2025-01-12,CUST0281,Mumbai,Coastal Kitchen,Desserts,3,133.56,73.01,40,Credit Card,Delivered,3.6,367.67
ORD01093,2025-01-12,CUST0139,Hyderabad,Deccan Delights,Biryani,1,322.44,60.68,30,UPI,Delivered,3.9,291.76
ORD02685,2025-01-13,CUST0386,Mumbai,Tandoor Tales,Chinese,1,310.71,37.5,20,Cash,Cancelled,4.5,293.21
ORD01034,2025-01-13,CUST0741,Hyderabad,Nawab Kitchen,Pizza,1,405.64,22.17,50,Wallet,Delivered,4.4,433.47
ORD02383,2025-01-13,CUST0783,Kolkata,Biryani Corner,Biryani,1,136.74,26.23,30,UPI,Delivered,4.1,140.51
ORD00874,2025-01-13,CUST0704,Mumbai,Bombay Bites,Burgers,4,222.25,86.72,50,Debit Card,Delivered,4.5,852.28
ORD02412,2025-01-13,CUST0226,Delhi,Punjabi Rasoi,Burgers,2,165.66,39.69,30,UPI,Delivered,4.1,321.63
ORD02261,2025-01-13,CUST0102,Pune,Cafe Central,North Indian,3,268.0,37.45,40,UPI,Delivered,,806.55
ORD02176,2025-01-13,CUST0198,Kochi,Malabar Bites,Biryani,3,233.83,71.94,30,Credit Card,Delivered,3.4,659.55
ORD02304,2025-01-13,CUST0012,Kochi,Coastal Treats,Chinese,2,347.07,20.87,30,Cash,Delivered,5.0,703.27
ORD00795,2025-01-13,CUST0010,Delhi,Street Feast,Desserts,1,187.83,35.84,20,Cash,Delivered,3.9,171.99
ORD01046,2025-01-13,CUST0446,Bengaluru,South Spice,Desserts,1,159.23,4.34,20,Debit Card,Delivered,4.2,174.89
ORD01001,2025-01-13,CUST0474,Chennai,Dosa House,Biryani,1,197.33,22.74,20,UPI,Delivered,4.5,194.59
ORD00974,2025-01-13,CUST0216,Pune,Marathi Meals,Pizza,1,359.92,14.2,40,UPI,Delivered,4.1,385.72
ORD01491,2025-01-13,CUST0227,Kolkata,Biryani Corner,South Indian,4,132.56,17.29,50,UPI,Delivered,3.8,562.95
ORD02684,2025-01-14,CUST0183,Delhi,Street Feast,South Indian,1,199.13,24.57,40,Debit Card,Delivered,3.9,214.56
ORD01543,2025-01-14,CUST0497,Mumbai,Mumbai Masala,Biryani,3,361.5,53.99,40,Cash,Delivered,4.3,1070.51
ORD02133,2025-01-14,CUST0287,Bengaluru,Tech Tadka,South Indian,2,237.84,42.84,50,UPI,Delivered,3.3,482.84
ORD02658,2025-01-14,CUST0785,Pune,Marathi Meals,North Indian,2,486.07,140.25,20,UPI,Delivered,3.5,851.89
ORD00909,2025-01-14,CUST0043,Hyderabad,Nawab Kitchen,Chinese,1,179.59,10.18,20,UPI,Delivered,,189.41
ORD01168,2025-01-15,CUST0579,Delhi,Capital Bites,Chinese,2,240.22,22.55,20,Wallet,Delivered,4.5,477.89
ORD00441,2025-01-15,CUST0051,Mumbai,Mumbai Masala,Biryani,1,305.66,51.78,40,Cash,Delivered,3.7,293.88
ORD01405,2025-01-16,CUST0261,Delhi,Punjabi Rasoi,Chinese,1,236.97,1.52,30,Credit Card,Delivered,3.3,265.45
ORD00414,2025-01-16,CUST0785,Delhi,Delhi Zaika,Burgers,2,156.59,61.96,30,UPI,Cancelled,3.8,281.22
ORD01006,2025-01-16,CUST0212,Delhi,Street Feast,Burgers,1,236.95,5.1,60,Cash,Delivered,5.0,291.85
ORD02952,2025-01-16,CUST0020,Kolkata,Bengal Feast,Pizza,1,535.9,3.44,50,Debit Card,Delivered,4.1,582.46
ORD01094,2025-01-16,CUST0511,Chennai,Urban Tiffin,North Indian,3,283.57,36.63,30,Debit Card,Cancelled,3.7,844.08
ORD00865,2025-01-16,CUST0767,Delhi,Punjabi Rasoi,Biryani,3,270.79,83.68,30,UPI,Delivered,4.2,758.69
ORD01676,2025-01-16,CUST0571,Chennai,Urban Tiffin,Pizza,2,386.85,0.76,30,UPI,Delivered,3.7,802.94
ORD01995,2025-01-16,CUST0428,Hyderabad,Deccan Delights,Healthy Food,3,420.01,232.24,30,UPI,Delivered,4.6,1057.79
ORD00254,2025-01-16,CUST0184,Bengaluru,South Spice,Pizza,1,312.47,58.02,40,Debit Card,Delivered,4.1,294.45
ORD00155,2025-01-17,CUST0554,Kolkata,Kolkata Kitchen,Biryani,3,210.86,78.97,30,UPI,Delivered,4.7,583.61
ORD00513,2025-01-17,CUST0220,Hyderabad,Deccan Delights,South Indian,1,136.18,21.18,40,UPI,Delivered,4.4,155.0
ORD01057,2025-01-17,CUST0223,Kolkata,Biryani Corner,Burgers,2,222.25,52.1,40,UPI,Delivered,4.8,432.4
ORD01863,2025-01-17,CUST0482,Hyderabad,Nawab Kitchen,Pizza,1,353.49,69.95,50,Wallet,Delivered,3.3,333.54
ORD00753,2025-01-17,CUST0373,Pune,Deccan Kitchen,Chinese,2,302.4,33.78,20,Wallet,Delivered,4.2,591.02
ORD01877,2025-01-17,CUST0130,Chennai,Urban Tiffin,South Indian,1,244.46,29.38,50,UPI,Delivered,3.3,265.08
ORD02649,2025-01-17,CUST0263,Chennai,Chennai Bites,Chinese,1,312.8,37.16,60,Credit Card,Delivered,4.8,335.64
ORD02855,2025-01-17,CUST0544,Hyderabad,Deccan Delights,South Indian,3,210.12,68.39,40,Cash,Delivered,5.0,601.97
ORD01559,2025-01-17,CUST0089,Kochi,Coastal Treats,Healthy Food,1,412.57,48.3,50,Credit Card,Delivered,4.5,414.27
ORD01132,2025-01-17,CUST0270,Delhi,Capital Bites,North Indian,1,379.15,62.1,30,UPI,Delivered,4.0,347.05
ORD01291,2025-01-17,CUST0285,Chennai,Dosa House,Biryani,1,206.29,23.93,30,Credit Card,Cancelled,4.9,212.36
ORD02783,2025-01-18,CUST0651,Mumbai,Bombay Bites,Biryani,2,305.29,19.53,20,Credit Card,Delivered,3.8,611.05
ORD02580,2025-01-18,CUST0405,Hyderabad,Deccan Delights,Biryani,2,188.25,35.71,30,Credit Card,Delivered,4.9,370.79
ORD02299,2025-01-18,CUST0454,Mumbai,Mumbai Masala,North Indian,1,285.69,55.57,30,Debit Card,Cancelled,4.4,260.12
ORD01815,2025-01-18,CUST0365,Delhi,Capital Bites,South Indian,2,220.52,38.78,50,UPI,Delivered,4.3,452.26
ORD02830,2025-01-18,CUST0693,Kochi,Coconut Cafe,Burgers,2,261.82,27.38,30,UPI,Delivered,3.9,526.26
ORD01722,2025-01-18,CUST0635,Bengaluru,Bengaluru Bowl,Chinese,3,131.65,26.61,50,UPI,Delivered,2.9,418.34
ORD02322,2025-01-18,CUST0124,Mumbai,Coastal Kitchen,Pizza,1,312.37,23.5,40,UPI,Delivered,4.1,328.87
ORD00531,2025-01-19,CUST0762,Pune,Cafe Central,Biryani,1,277.95,37.42,30,UPI,Delivered,4.6,270.53
ORD01845,2025-01-19,CUST0270,Chennai,Urban Tiffin,Healthy Food,2,365.83,42.68,30,Debit Card,Cancelled,3.8,718.98
ORD00009,2025-01-19,CUST0122,Bengaluru,Garden Kitchen,Burgers,2,209.91,35.65,40,Wallet,Delivered,4.6,424.17
ORD02109,2025-01-19,CUST0293,Bengaluru,Bengaluru Bowl,Biryani,1,338.05,38.64,60,UPI,Delivered,4.0,359.41
ORD01532,2025-01-19,CUST0172,Bengaluru,South Spice,Pizza,2,372.7,36.68,20,Debit Card,Delivered,4.6,728.72
ORD02975,2025-01-19,CUST0057,Delhi,Delhi Zaika,North Indian,1,294.39,8.69,20,Wallet,Delivered,3.3,305.7
ORD00821,2025-01-19,CUST0476,Hyderabad,Nawab Kitchen,Pizza,2,300.15,91.34,20,Debit Card,Delivered,5.0,528.96
ORD01214,2025-01-19,CUST0069,Hyderabad,Biryani Point,Desserts,2,155.92,11.46,20,Credit Card,Cancelled,4.1,320.38
ORD02687,2025-01-19,CUST0731,Bengaluru,Tech Tadka,North Indian,1,243.27,27.24,30,UPI,Delivered,3.8,246.03
ORD01587,2025-01-20,CUST0402,Delhi,Street Feast,South Indian,2,233.48,19.82,60,UPI,Delivered,5.0,507.14
ORD02168,2025-01-20,CUST0511,Kolkata,East Spice,Chinese,1,284.23,48.91,20,Credit Card,Delivered,5.0,255.32
ORD00749,2025-01-20,CUST0526,Hyderabad,Nawab Kitchen,Healthy Food,1,361.82,12.53,40,UPI,Delivered,3.6,389.29
ORD00186,2025-01-20,CUST0556,Hyderabad,Nawab Kitchen,North Indian,2,251.42,42.35,30,Credit Card,Cancelled,4.0,490.49
ORD02677,2025-01-20,CUST0092,Chennai,Urban Tiffin,Biryani,2,187.88,0.02,20,Debit Card,Cancelled,4.4,395.74
ORD01933,2025-01-20,CUST0236,Kolkata,Kolkata Kitchen,South Indian,1,199.78,7.95,40,UPI,Delivered,3.5,231.83
ORD02881,2025-01-21,CUST0797,Kolkata,East Spice,Pizza,1,407.23,72.04,40,UPI,Delivered,4.2,375.19
ORD01751,2025-01-21,CUST0224,Hyderabad,Deccan Delights,Biryani,2,241.77,89.82,30,Wallet,Delivered,4.4,423.72
ORD00448,2025-01-21,CUST0314,Bengaluru,Bengaluru Bowl,Pizza,1,378.46,16.91,20,UPI,Delivered,5.0,381.55
ORD00112,2025-01-21,CUST0648,Pune,Pune Pantry,Biryani,2,259.7,64.88,50,Debit Card,Returned,4.7,504.52
ORD00705,2025-01-21,CUST0039,Pune,Marathi Meals,South Indian,1,118.86,3.2,30,UPI,Delivered,4.5,145.66
ORD00258,2025-01-21,CUST0294,Kolkata,Biryani Corner,Pizza,1,312.08,44.18,50,Wallet,Delivered,4.0,317.9
ORD00335,2025-01-21,CUST0580,Delhi,Delhi Zaika,Chinese,1,275.09,40.78,40,UPI,Delivered,4.5,274.31
ORD00129,2025-01-21,CUST0201,Delhi,Capital Bites,Chinese,2,338.16,79.53,20,Credit Card,Delivered,4.7,616.79
ORD00983,2025-01-21,CUST0623,Kolkata,Biryani Corner,Biryani,4,207.07,40.07,20,Wallet,Cancelled,3.8,808.21
ORD01030,2025-01-21,CUST0320,Bengaluru,Bengaluru Bowl,South Indian,3,114.73,21.41,40,Cash,Delivered,3.8,362.78
ORD00892,2025-01-21,CUST0081,Mumbai,Bombay Bites,North Indian,3,171.98,64.49,30,UPI,Delivered,4.4,481.45
ORD01406,2025-01-22,CUST0256,Delhi,Punjabi Rasoi,South Indian,2,188.29,35.36,30,Wallet,Delivered,3.3,371.22
ORD02045,2025-01-22,CUST0307,Chennai,Chennai Bites,Biryani,4,186.4,57.42,30,Debit Card,Delivered,4.3,718.18
ORD01503,2025-01-22,CUST0548,Kolkata,East Spice,Biryani,1,355.79,19.39,20,UPI,Delivered,3.9,356.4
ORD02771,2025-01-22,CUST0621,Mumbai,Bombay Bites,Chinese,4,204.62,29.19,30,UPI,Delivered,3.9,819.29
ORD00800,2025-01-22,CUST0119,Delhi,Punjabi Rasoi,Chinese,3,260.68,50.47,30,UPI,Delivered,3.6,761.57
ORD00164,2025-01-22,CUST0485,Pune,Marathi Meals,Burgers,1,168.7,24.91,40,Credit Card,Delivered,4.8,183.79
ORD01581,2025-01-22,CUST0498,Hyderabad,Hyderabad House,North Indian,1,316.42,53.25,20,Debit Card,Delivered,4.5,283.17
ORD02904,2025-01-22,CUST0703,Chennai,Dosa House,Pizza,2,333.46,93.53,40,Credit Card,Delivered,4.3,613.39
ORD02641,2025-01-22,CUST0457,Chennai,Chennai Bites,Chinese,2,331.23,36.15,40,Cash,Returned,3.7,666.31
ORD00913,2025-01-22,CUST0663,Bengaluru,Bengaluru Bowl,North Indian,2,319.71,14.67,30,UPI,Delivered,4.6,654.75
ORD01915,2025-01-22,CUST0520,Bengaluru,Bengaluru Bowl,South Indian,1,213.8,36.6,30,Debit Card,Delivered,4.2,207.2
ORD00971,2025-01-23,CUST0474,Hyderabad,Nawab Kitchen,Desserts,1,158.37,26.25,40,UPI,Delivered,4.1,172.12
ORD00848,2025-01-23,CUST0072,Mumbai,Coastal Kitchen,Desserts,2,193.9,75.71,40,UPI,Delivered,3.7,352.09
ORD01765,2025-01-23,CUST0336,Bengaluru,Tech Tadka,Biryani,2,193.16,33.67,20,UPI,Delivered,4.3,372.65
ORD00621,2025-01-23,CUST0699,Delhi,Capital Bites,North Indian,3,410.01,136.98,40,Cash,Delivered,3.7,1133.05
ORD00901,2025-01-23,CUST0069,Bengaluru,Bengaluru Bowl,Burgers,1,272.98,33.98,40,UPI,Delivered,3.5,279.0
ORD01356,2025-01-24,CUST0759,Pune,Cafe Central,Burgers,2,211.31,52.84,20,Debit Card,Delivered,3.6,389.78
ORD01060,2025-01-24,CUST0468,Pune,Deccan Kitchen,Biryani,2,312.03,85.74,20,UPI,Delivered,4.0,558.32
ORD01355,2025-01-24,CUST0313,Mumbai,Tandoor Tales,Biryani,2,263.71,29.27,30,Debit Card,Delivered,4.3,528.15
ORD00976,2025-01-24,CUST0365,Bengaluru,South Spice,Burgers,2,284.34,84.31,30,Wallet,Delivered,4.3,514.37
ORD01887,2025-01-25,CUST0604,Pune,Cafe Central,South Indian,1,134.69,8.92,20,Credit Card,Delivered,4.2,145.77
ORD02571,2025-01-25,CUST0216,Hyderabad,Deccan Delights,Pizza,1,349.33,0.93,20,Wallet,Delivered,4.5,368.4
ORD02526,2025-01-25,CUST0456,Pune,Marathi Meals,Healthy Food,2,321.46,41.96,60,UPI,Delivered,4.6,660.96
ORD01879,2025-01-25,CUST0084,Bengaluru,Garden Kitchen,Biryani,1,275.71,43.57,40,UPI,Delivered,3.6,272.14
ORD00270,2025-01-25,CUST0464,Bengaluru,South Spice,Biryani,1,298.46,28.63,30,Wallet,Delivered,3.6,299.83
ORD01621,2025-01-25,CUST0759,Delhi,Delhi Zaika,South Indian,2,197.39,6.47,20,UPI,Delivered,5.0,408.31
ORD02105,2025-01-25,CUST0526,Chennai,Dosa House,Healthy Food,1,374.09,72.96,40,UPI,Delivered,4.2,341.13
ORD00831,2025-01-25,CUST0083,Pune,Pune Pantry,Pizza,2,345.9,46.46,50,Wallet,Cancelled,5.0,695.34
ORD02807,2025-01-25,CUST0768,Mumbai,Tandoor Tales,South Indian,1,155.93,18.24,40,Wallet,Delivered,4.2,177.69
ORD01398,2025-01-25,CUST0746,Kolkata,Bengal Feast,North Indian,1,386.57,11.45,20,UPI,Delivered,4.6,395.12
ORD01138,2025-01-25,CUST0379,Bengaluru,Garden Kitchen,Biryani,1,291.78,57.97,20,UPI,Delivered,3.7,253.81
ORD02801,2025-01-25,CUST0623,Kolkata,Biryani Corner,Chinese,1,207.48,4.15,50,Credit Card,Delivered,3.6,253.33
ORD00444,2025-01-26,CUST0575,Hyderabad,Nawab Kitchen,Burgers,1,201.94,25.9,40,UPI,Delivered,4.5,216.04
ORD00201,2025-01-26,CUST0628,Bengaluru,South Spice,South Indian,4,155.86,36.72,30,UPI,Delivered,3.4,616.72
ORD02674,2025-01-26,CUST0483,Bengaluru,Bengaluru Bowl,South Indian,1,226.36,20.58,20,UPI,Delivered,4.7,225.78
ORD01137,2025-01-26,CUST0005,Bengaluru,Tech Tadka,Burgers,1,217.41,5.24,40,UPI,Delivered,3.3,252.17
ORD02182,2025-01-26,CUST0206,Kochi,Coastal Treats,Pizza,2,305.05,97.76,30,UPI,Delivered,4.2,542.34
ORD00882,2025-01-27,CUST0447,Hyderabad,Biryani Point,Pizza,3,272.71,120.63,40,Wallet,Delivered,4.6,737.5
ORD02071,2025-01-27,CUST0152,Delhi,Capital Bites,North Indian,1,244.21,41.04,30,UPI,Delivered,3.6,233.17
ORD02884,2025-01-27,CUST0770,Kochi,Coastal Treats,Pizza,2,245.69,31.22,40,UPI,Delivered,3.6,500.16
ORD01129,2025-01-28,CUST0349,Mumbai,Mumbai Masala,Chinese,1,207.43,29.9,40,UPI,Delivered,4.3,217.53
ORD02258,2025-01-28,CUST0324,Chennai,Spice Hub,South Indian,1,163.18,8.77,50,UPI,Delivered,4.1,204.41
ORD00457,2025-01-28,CUST0613,Pune,Pune Pantry,Desserts,3,200.63,31.2,40,Debit Card,Delivered,3.4,610.69
ORD00578,2025-01-28,CUST0605,Hyderabad,Deccan Delights,Biryani,1,214.99,38.18,20,Credit Card,Delivered,4.0,196.81
ORD01023,2025-01-28,CUST0595,Kolkata,Bengal Feast,Burgers,3,208.48,73.52,30,Wallet,Delivered,4.5,581.92
ORD00150,2025-01-28,CUST0398,Kochi,Coastal Treats,North Indian,1,357.45,18.81,40,Wallet,Delivered,4.0,378.64
